Causas (lista reducida);Sexo;Edad;Lugar de residencia;Total
026 Tumor maligno del ovario;Hombres;De 30 a 34 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 30 a 34 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 35 a 39 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 35 a 39 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 35 a 39 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 35 a 39 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 40 a 44 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 40 a 44 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 40 a 44 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 40 a 44 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 45 a 49 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 45 a 49 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 45 a 49 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 45 a 49 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 50 a 54 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 50 a 54 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 50 a 54 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 50 a 54 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 55 a 59 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 55 a 59 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 55 a 59 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 55 a 59 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 60 a 64 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 60 a 64 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 60 a 64 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 60 a 64 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 65 a 69 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 65 a 69 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 65 a 69 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 65 a 69 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 70 a 74 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 70 a 74 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 70 a 74 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 70 a 74 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 75 a 79 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 75 a 79 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 75 a 79 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 75 a 79 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 80 a 84 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 80 a 84 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 80 a 84 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 80 a 84 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 85 a 89 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 85 a 89 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 85 a 89 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 85 a 89 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 90 a 94 años;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 90 a 94 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 90 a 94 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 90 a 94 años;Extranjero;0
026 Tumor maligno del ovario;Hombres;De 95 años y más;Mismo municipio;0
026 Tumor maligno del ovario;Hombres;De 95 años y más;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Hombres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 95 años y más;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Hombres;De 95 años y más;Extranjero;0
026 Tumor maligno del ovario;Mujeres;Menores de 1 año;Mismo municipio;0
026 Tumor maligno del ovario;Mujeres;Menores de 1 año;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Mujeres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;Menores de 1 año;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;Menores de 1 año;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 1 a 4 años;Mismo municipio;0
026 Tumor maligno del ovario;Mujeres;De 1 a 4 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Mujeres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 1 a 4 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 1 a 4 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 5 a 9 años;Mismo municipio;0
026 Tumor maligno del ovario;Mujeres;De 5 a 9 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Mujeres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 5 a 9 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 5 a 9 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 10 a 14 años;Mismo municipio;1
026 Tumor maligno del ovario;Mujeres;De 10 a 14 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Mujeres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 10 a 14 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 10 a 14 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 15 a 19 años;Mismo municipio;0
026 Tumor maligno del ovario;Mujeres;De 15 a 19 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Mujeres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 15 a 19 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 15 a 19 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 20 a 24 años;Mismo municipio;0
026 Tumor maligno del ovario;Mujeres;De 20 a 24 años;Otro municipio de la misma provincia;0
026 Tumor maligno del ovario;Mujeres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 20 a 24 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 20 a 24 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 25 a 29 años;Mismo municipio;2
026 Tumor maligno del ovario;Mujeres;De 25 a 29 años;Otro municipio de la misma provincia;2
026 Tumor maligno del ovario;Mujeres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 25 a 29 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 25 a 29 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 30 a 34 años;Mismo municipio;4
026 Tumor maligno del ovario;Mujeres;De 30 a 34 años;Otro municipio de la misma provincia;1
026 Tumor maligno del ovario;Mujeres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 30 a 34 años;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 30 a 34 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 35 a 39 años;Mismo municipio;4
026 Tumor maligno del ovario;Mujeres;De 35 a 39 años;Otro municipio de la misma provincia;6
026 Tumor maligno del ovario;Mujeres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 35 a 39 años;Otra Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 35 a 39 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 40 a 44 años;Mismo municipio;18
026 Tumor maligno del ovario;Mujeres;De 40 a 44 años;Otro municipio de la misma provincia;10
026 Tumor maligno del ovario;Mujeres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 40 a 44 años;Otra Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 40 a 44 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 45 a 49 años;Mismo municipio;40
026 Tumor maligno del ovario;Mujeres;De 45 a 49 años;Otro municipio de la misma provincia;35
026 Tumor maligno del ovario;Mujeres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 45 a 49 años;Otra Comunidad Autónoma;3
026 Tumor maligno del ovario;Mujeres;De 45 a 49 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 50 a 54 años;Mismo municipio;82
026 Tumor maligno del ovario;Mujeres;De 50 a 54 años;Otro municipio de la misma provincia;57
026 Tumor maligno del ovario;Mujeres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;6
026 Tumor maligno del ovario;Mujeres;De 50 a 54 años;Otra Comunidad Autónoma;5
026 Tumor maligno del ovario;Mujeres;De 50 a 54 años;Extranjero;1
026 Tumor maligno del ovario;Mujeres;De 55 a 59 años;Mismo municipio;99
026 Tumor maligno del ovario;Mujeres;De 55 a 59 años;Otro municipio de la misma provincia;48
026 Tumor maligno del ovario;Mujeres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;7
026 Tumor maligno del ovario;Mujeres;De 55 a 59 años;Otra Comunidad Autónoma;3
026 Tumor maligno del ovario;Mujeres;De 55 a 59 años;Extranjero;1
026 Tumor maligno del ovario;Mujeres;De 60 a 64 años;Mismo municipio;113
026 Tumor maligno del ovario;Mujeres;De 60 a 64 años;Otro municipio de la misma provincia;80
026 Tumor maligno del ovario;Mujeres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;2
026 Tumor maligno del ovario;Mujeres;De 60 a 64 años;Otra Comunidad Autónoma;5
026 Tumor maligno del ovario;Mujeres;De 60 a 64 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 65 a 69 años;Mismo municipio;120
026 Tumor maligno del ovario;Mujeres;De 65 a 69 años;Otro municipio de la misma provincia;90
026 Tumor maligno del ovario;Mujeres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;3
026 Tumor maligno del ovario;Mujeres;De 65 a 69 años;Otra Comunidad Autónoma;2
026 Tumor maligno del ovario;Mujeres;De 65 a 69 años;Extranjero;1
026 Tumor maligno del ovario;Mujeres;De 70 a 74 años;Mismo municipio;158
026 Tumor maligno del ovario;Mujeres;De 70 a 74 años;Otro municipio de la misma provincia;98
026 Tumor maligno del ovario;Mujeres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;3
026 Tumor maligno del ovario;Mujeres;De 70 a 74 años;Otra Comunidad Autónoma;2
026 Tumor maligno del ovario;Mujeres;De 70 a 74 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 75 a 79 años;Mismo municipio;174
026 Tumor maligno del ovario;Mujeres;De 75 a 79 años;Otro municipio de la misma provincia;93
026 Tumor maligno del ovario;Mujeres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;2
026 Tumor maligno del ovario;Mujeres;De 75 a 79 años;Otra Comunidad Autónoma;3
026 Tumor maligno del ovario;Mujeres;De 75 a 79 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 80 a 84 años;Mismo municipio;188
026 Tumor maligno del ovario;Mujeres;De 80 a 84 años;Otro municipio de la misma provincia;90
026 Tumor maligno del ovario;Mujeres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;2
026 Tumor maligno del ovario;Mujeres;De 80 a 84 años;Otra Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 80 a 84 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 85 a 89 años;Mismo municipio;123
026 Tumor maligno del ovario;Mujeres;De 85 a 89 años;Otro municipio de la misma provincia;53
026 Tumor maligno del ovario;Mujeres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 85 a 89 años;Otra Comunidad Autónoma;5
026 Tumor maligno del ovario;Mujeres;De 85 a 89 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 90 a 94 años;Mismo municipio;63
026 Tumor maligno del ovario;Mujeres;De 90 a 94 años;Otro municipio de la misma provincia;18
026 Tumor maligno del ovario;Mujeres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 90 a 94 años;Otra Comunidad Autónoma;1
026 Tumor maligno del ovario;Mujeres;De 90 a 94 años;Extranjero;0
026 Tumor maligno del ovario;Mujeres;De 95 años y más;Mismo municipio;19
026 Tumor maligno del ovario;Mujeres;De 95 años y más;Otro municipio de la misma provincia;7
026 Tumor maligno del ovario;Mujeres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 95 años y más;Otra Comunidad Autónoma;0
026 Tumor maligno del ovario;Mujeres;De 95 años y más;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Menores de 1 año;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Menores de 1 año;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Menores de 1 año;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;Menores de 1 año;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 1 a 4 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 1 a 4 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 1 a 4 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 1 a 4 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 5 a 9 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 5 a 9 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 5 a 9 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 5 a 9 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 10 a 14 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 10 a 14 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 10 a 14 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 10 a 14 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 15 a 19 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 15 a 19 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 15 a 19 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 15 a 19 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 20 a 24 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 20 a 24 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 20 a 24 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 20 a 24 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 25 a 29 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 25 a 29 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 25 a 29 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 25 a 29 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 30 a 34 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 30 a 34 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 30 a 34 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 30 a 34 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 35 a 39 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 35 a 39 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 35 a 39 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 35 a 39 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 40 a 44 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 40 a 44 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 40 a 44 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 40 a 44 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 45 a 49 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 45 a 49 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 45 a 49 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 45 a 49 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 50 a 54 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 50 a 54 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 50 a 54 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 50 a 54 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 55 a 59 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 55 a 59 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 55 a 59 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 55 a 59 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 60 a 64 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 60 a 64 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 60 a 64 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 60 a 64 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 65 a 69 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 65 a 69 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 65 a 69 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 65 a 69 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 70 a 74 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 70 a 74 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 70 a 74 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 70 a 74 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 75 a 79 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 75 a 79 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 75 a 79 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 75 a 79 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 80 a 84 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 80 a 84 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 80 a 84 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 80 a 84 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 85 a 89 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 85 a 89 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 85 a 89 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 85 a 89 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 90 a 94 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 90 a 94 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 90 a 94 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 90 a 94 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 95 años y más;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 95 años y más;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 95 años y más;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Hombres;De 95 años y más;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Menores de 1 año;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Menores de 1 año;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Menores de 1 año;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;Menores de 1 año;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 1 a 4 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 1 a 4 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 1 a 4 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 1 a 4 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 5 a 9 años;Mismo municipio;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 5 a 9 años;Otro municipio de la misma provincia;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 5 a 9 años;Otra Comunidad Autónoma;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 5 a 9 años;Extranjero;0
027 Tumores malignos de otros órganos genitales femeninos;Mujeres;De 10 a 14 años;Mismo municipio;0
